No.,Parent Company Name,Mill Name,Country,State/Province,Latitude,Longitude
1,Anson Oil Industries,Anson Oil,Malaysia,Perak,3.95556,101.199
2,Eng Thye Plantations,Eng Hong,Malaysia,Selangor,2.859843,101.474397
3,Eng Thye Plantations,Jugra,Malaysia,Selangor,2.8456,101.4677
4,Kilang Sawit Jerantut,Jerantut,Malaysia,Pahang,3.862045,102.345482
5,Kilang Sawit CP,Charuk Putting,Malaysia,Pahang,3.440086,102.489873
6,Tian Siang Holding,Pujaan Makmur,Malaysia,Pahang,3.181753,102.458895
7,Ldc Malaysia,Banting,Malaysia,Selangor,2.721359,101.491296
8,Syarikat Peladang & Perusahaan,Syarikat Peladang & Perusahaan,Malaysia,Perak,3.979658,100.990561
9,Tian Siang Holding,Air Kuning,Malaysia,Perak,4.161412,101.165029
10,Tian Siang Holding,Pahang,Malaysia,Pahang,3.803501,101.842146
11,Tian Siang Holding,Tian Siang Perak,Malaysia,Perak,4.592983,100.732286
12,United Plantations Berhad,Unitata,Malaysia,Perak,3.8538,100.9683
13,Boustead Estate Agency,Sungai Jernih,Malaysia,Pahang,3.337,103.099972
14,Boustead Estate Agency,Terong,Malaysia,Perak,4.673956,100.706955
15,Lam Soon Group,Dara Lam Soon,Malaysia,Pahang,3.156064,103.163416
16,Kuala Lumpur Kepong,Batu Lintang,Malaysia,Kedah,5.193591,100.62843
17,Kuala Lumpur Kepong,Changkat Chermin,Malaysia,Perak,4.2753,100.7853
18,Sime Darby Plantation,Labu,Malaysia,Negeri Sembilan,2.748889,101.8045
19,United Plantations Berhad,Ulu Bernam,Malaysia,Perak,3.745278,101.146111
20,Uni Seraya,Kebun Pantai Raja,Indonesia,Riau,-0.0574,101.2435
21,Prima Sauhur Lestari,Riau Kampar Sahabat Sejati,Indonesia,Riau,0.65886111,100.8966944
22,Kencana Agri,Kencana Persada Nusantara,Indonesia,Riau,1.279694,100.336564
23,Kencana Agri,Arya Rama Prakarsa (Rantau Sakti),Indonesia,Riau,1.222161,100.384187
24,Guna Setia Pratama,Guna Setia Pratama,Indonesia,Riau,0.428068,101.596593
25,Gunung Sawit Mas,Gunung Sawit Mas,Indonesia,Riau,1.07823,100.261959
26,Kencana Agri,Kencana Utama Sejati,Indonesia,Sumatera Utara,1.068972,100.1172
27,Mustika Agung Sawit Sejahtera,Mustika Agung Sawit Sejahtera,Indonesia,Riau,1.22425,101.2424167
28,Anglo-Eastern Plantations,Tasik Raja,Indonesia,Sumatera Utara,1.669611,100.161519
29,Anglo-Eastern Plantations,United Kingdom Indonesia Plantations,Indonesia,Sumatera Utara,3.493983,98.397
30,Asam Jawa,Asam Jawa,Indonesia,Sumatera Utara,1.900056,100.186611
31,Astra Agro Lestari,Karya Tanah Subur,Indonesia,Aceh,4.349781,96.165
32,Astra Agro Lestari,Perkebunan Lembah Bhakti,Indonesia,Aceh,2.314164,97.995719
33,Astra Agro Lestari,Perkebunan Lembah Bhakti 2,Indonesia,Aceh,2.560639,97.948667
34,Bakrie Sumatera Plantations,Graha Dura Leidong Prima,Indonesia,Sumatera Utara,2.583633,99.782467
35,Bakrie Sumatera Plantations,Unit Sumut Kisaran,Indonesia,Sumatera Utara,3.039972,99.585
36,Sinar Tenera Lestari,Sinar Tenera,Indonesia,Sumatera Utara,3.070117,99.2047
37,Makin,Karang Agung,Indonesia,Sumatera Selatan,-2.261,104.312689
38,Makin,Lalan,Indonesia,Sumatera Selatan,-2.23413,104.332258
39,Sipef,Djaja Putra Indonesia,Indonesia,Sumatera Utara,2.678333,99.427611
40,Tenera Lestari,Ensem Lestari,Indonesia,Aceh,2.456777,98.06502
41,Ensem,Ensem Sawita,Indonesia,Aceh,4.56598,97.91714
42,Ensem,Kwala Gunung Lima Puluh,Indonesia,Sumatera Utara,3.163856,99.482025
43,Indah Group,Bangun Tenera Riau,Indonesia,Riau,0.288533,101.4166
44,Indah Group,Huta Bayu Marsada,Indonesia,Sumatera Utara,3.063817,99.333633
45 Kencana Agri,,Kencana Permata Nusantara,Indonesia,Sumatera Utara,3.4522222,98.6986111
46,Kuala Lumpur Kepong,Langkat Nusantara Kepong (Gohor Lama),Indonesia,Sumatera Utara,3.760164,98.393
47,Lingga Tiga Sawit,Lingga Tiga Sawit,Indonesia,Sumatera Utara,2.014435,99.879679
48,Musim Mas,Sumber Sawit Nusantara,Indonesia,Sumatera Utara,1.5501,99.9559
49,Mahkota Group,Berlian Inti Mekar (Rengat),Indonesia,Riau,-0.722534,102.627397
50,Mahkota Group,Berlian Inti Mekar (Siak),Indonesia,Riau,0.63875,101.976472
51,Merbau Jaya Indah Raya,Merbau Jaya Indah Raya,Indonesia,Sumatera Utara,2.283883,99.7803
52,Sime Darby Plantation,Perkasa Subur Sakti (Blang Simpo),Indonesia,Aceh,4.707778,97.838611
53,Mitra Agung Sawita Sejati,Mitra Agung Sawita Sejati,Indonesia,Sumatera Utara,3.296392,99.305017
54,MP Evans,Pangkatan Indonesia,Indonesia,Sumatera Utara,2.10305,99.947661
55,Multi Palma Sejahtera,Si Kijang,Indonesia,Riau,0.4144,101.6668
56,Multi Perkasa Sejahtera,Multi Perkasa Sejahtera,Indonesia,Kalimantan Barat,0.356562,109.97425
